Product Name,2017 Budgets
Product 1,3016489.21
Product 2,3050087.57
Product 3,2642352.43
Product 4,2885560.82
Product 5,3925424.54
Product 6,1672229.42
Product 7,889737.56
Product 8,1085037.33
Product 9,710415.41
Product 10,864331.62
Product 11,1230458.48
Product 12,1356977
Product 13,3720639.65
Product 14,4028698.41
Product 15,3299478.32
Product 16,2062061.14
Product 17,2119616.82
Product 18,2309499.05
Product 19,1645841.6
Product 20,2067108.12
Product 21,959899.22
Product 22,663601.9
Product 23,1135815.76
Product 24,756557.97
Product 25,5342315.48
Product 26,5685138.27
Product 27,964940.23
Product 28,1003867.77
Product 29,594471.57
Product 30,1011609.68
