Order_id,Order_Date,Customer_id,channel_name,Currency _Code,Warehouse_Code,Region_id ,Product_id,Order_ Quantity,Unit _Price,Line_total,Total_Unit_Cost
SO - 000101,2014-06-01,59,Distributor,USD,NXH382,47,25,5,1963.1,9815.5,1001.18
SO - 000102,2014-06-01,33,Wholesale,USD,GUT930,36,24,5,3939.6,19698,3348.66
SO - 000103,2014-06-01,8,Export,USD,GUT930,39,14,10,1775.5,17755,781.22
SO - 000104,2014-06-01,76,Export,USD,AXW291,20,2,6,2324.9,13949.4,1464.69
SO - 000105,2014-06-01,143,Wholesale,USD,AXW291,20,13,6,1822.4,10934.4,1476.14
SO - 000106,2014-06-01,124,Wholesale,USD,NXH382,52,12,6,1038.5,6231,446.56
SO - 000107,2014-06-01,151,Distributor,USD,AXW291,1,22,10,1192.6,11926,536.67
SO - 000108,2014-06-01,20,Distributor,USD,NXH382,51,10,10,1815.7,18157,1525.19
SO - 000109,2014-06-02,121,Wholesale,USD,NXH382,54,25,7,3879.3,27155.1,2211.2
SO - 000110,2014-06-02,110,Wholesale,USD,NXH382,47,4,6,1956.4,11738.4,1212.97
SO - 000111,2014-06-02,130,Export,USD,AXW291,3,17,12,201,2412,124.62
SO - 000112,2014-06-02,144,Distributor,USD,AXW291,28,28,8,6277.9,50223.2,2762.28
SO - 000113,2014-06-02,130,Export,USD,NXH382,57,6,7,1051.9,7363.3,641.66
SO - 000114,2014-06-02,27,Export,USD,NXH382,53,27,9,254.6,2291.4,216.41
SO - 000115,2014-06-02,63,Distributor,USD,AXW291,25,3,5,3932.9,19664.5,3146.32
SO - 000116,2014-06-02,110,Wholesale,USD,FLR025,64,29,10,1112.2,11122,700.69
SO - 000117,2014-06-02,110,Wholesale,USD,NXH382,58,19,12,1239.5,14874,904.84
SO - 000118,2014-06-02,156,Export,USD,AXW291,4,17,12,984.9,11818.8,393.96
SO - 000119,2014-06-02,41,Distributor,USD,FLR025,63,26,5,5581.1,27905.5,4130.01
SO - 000120,2014-06-02,4,Wholesale,USD,AXW291,25,17,8,3095.4,24763.2,1795.33
SO - 000121,2014-06-02,112,Export,USD,GUT930,35,6,8,2278,18224,1754.06
SO - 000122,2014-06-03,90,Export,USD,NXH382,51,26,12,991.6,11899.2,654.46
